,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
13355,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/1/2000,Parts per billion,33.391304,44,21,42,Parts per million,0.00775,0.015,23,13,Parts per billion,0.73913,3,21,4,Parts per million,0.811111,2,6,23
13359,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/2/2000,Parts per billion,19.434783,46,23,43,Parts per million,0.018375,0.033,6,28,Parts per billion,0.391304,2,15,3,Parts per million,0.2375,0.6,3,7
13363,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/3/2000,Parts per billion,49.695652,63,17,61,Parts per million,0.003875,0.009,8,8,Parts per billion,1.652174,4,14,6,Parts per million,1.5,2.3,10,26
13367,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/4/2000,Parts per billion,50.217391,70,0,68,Parts per million,0.00375,0.009,9,8,Parts per billion,1.521739,4,8,6,Parts per million,1.916667,2.9,4,33
13371,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/5/2000,Parts per billion,60.73913,101,13,101,Parts per million,0.0035,0.006,21,5,Parts per billion,4.173913,27,13,39,Parts per million,2.4875,3.9,8,44
13375,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/6/2000,Parts per billion,58.521739,73,8,71,Parts per million,0.004417,0.011,9,9,Parts per billion,3.913043,11,12,16,Parts per million,1.325,2.7,10,31
13379,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/7/2000,Parts per billion,54.217391,84,10,83,Parts per million,0.002375,0.005,8,4,Parts per billion,2.782609,6,13,9,Parts per million,1.825,2.5,4,28
13383,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/8/2000,Parts per billion,60.347826,75,10,73,Parts per million,0.003625,0.009,9,8,Parts per billion,2.434783,4,3,6,Parts per million,2.266667,3.7,6,42
13387,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/9/2000,Parts per billion,63.782609,79,11,78,Parts per million,0.003333,0.007,8,6,Parts per billion,7.086957,46,12,64,Parts per million,1.95,3.1,7,35
13391,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/10/2000,Parts per billion,59.086957,79,11,78,Parts per million,0.002208,0.006,12,5,Parts per billion,0.347826,2,9,3,Parts per million,1.7375,2.8,4,32
13395,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/11/2000,Parts per billion,58.73913,79,11,78,Parts per million,0.0015,0.004,5,3,Parts per billion,0.434783,4,8,6,Parts per million,0.55,1,10,11
13399,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/12/2000,Parts per billion,39.913043,62,14,60,Parts per million,0.00275,0.005,8,4,Parts per billion,0.73913,5,14,7,Parts per million,0.604167,1.1,14,13
13403,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/13/2000,Parts per billion,59.086957,97,10,97,Parts per million,0.00325,0.007,8,6,Parts per billion,1.347826,5,8,7,Parts per million,1.825,3.6,10,41
13407,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/14/2000,Parts per billion,63.652174,128,11,106,Parts per million,0.002667,0.006,8,5,Parts per billion,2.869565,8,11,11,Parts per million,2.195833,3.3,11,38
13411,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/15/2000,Parts per billion,59.26087,74,0,72,Parts per million,0.004833,0.011,9,9,Parts per billion,1.913043,5,0,7,Parts per million,2.158333,4.2,4,48
13415,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/16/2000,Parts per billion,39.434783,58,9,55,Parts per million,0.003917,0.009,8,8,Parts per billion,2.478261,9,16,13,Parts per million,0.758333,1.2,23,14
13419,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/17/2000,Parts per billion,59,85,15,84,Parts per million,0.001,0.001,0,1,Parts per billion,2.695652,4,0,6,Parts per million,2.8125,5.6,23,62
13423,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/18/2000,Parts per billion,37.565217,56,9,53,Parts per million,0.003667,0.009,8,8,Parts per billion,1.521739,4,7,6,Parts per million,2.291667,5.7,0,63
13427,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/19/2000,Parts per billion,34.826087,66,10,64,Parts per million,0.005958,0.01,10,8,Parts per billion,0.73913,3,8,4,Parts per million,1.2375,2.6,10,30
13431,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/20/2000,Parts per billion,27.565217,34,17,32,Parts per million,0.006292,0.011,9,9,Parts per billion,1.173913,11,12,16,Parts per million,0.579167,0.8,11,9
13435,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/21/2000,Parts per billion,30.217391,45,19,42,Parts per million,0.007417,0.016,10,14,Parts per billion,1.652174,6,3,9,Parts per million,0.683333,1.1,23,13
13439,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/22/2000,Parts per billion,33.521739,43,21,41,Parts per million,0.007542,0.016,9,14,Parts per billion,0.826087,4,13,6,Parts per million,0.95,1.1,0,13
13443,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/23/2000,Parts per billion,45.130435,64,13,62,Parts per million,0.003958,0.009,8,8,Parts per billion,1.043478,2,5,3,Parts per million,1.6875,2.5,9,28
13447,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/24/2000,Parts per billion,54.130435,119,13,104,Parts per million,0.002333,0.005,7,4,Parts per billion,2.608696,10,15,14,Parts per million,2.204167,3.7,10,42
13451,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/25/2000,Parts per billion,31.130435,43,0,41,Parts per million,0.004792,0.01,21,8,Parts per billion,0.26087,2,21,3,Parts per million,1.066667,1.7,0,19
13455,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/26/2000,Parts per billion,28.391304,44,18,42,Parts per million,0.008625,0.02,9,17,Parts per billion,0.782609,3,18,4,Parts per million,0.704167,1.1,8,13
