,0,1,2
0,2/2000,64.74193548387096,31
1,3/2000,44.75,28
2,4/2000,47.0,30
3,5/2000,45.206896551724135,29
4,6/2000,39.06666666666667,30
5,7/2000,30.310344827586206,29
6,8/2000,39.1,30
7,9/2000,46.36666666666667,30
8,10/2000,51.758620689655174,29
9,11/2000,46.3,30
10,12/2000,59.793103448275865,29
11,1/2001,71.36666666666666,30
12,2/2001,61.43333333333333,30
13,3/2001,46.25925925925926,27
14,4/2001,47.3,30
15,5/2001,45.10344827586207,29
16,6/2001,40.3,30
17,7/2001,44.758620689655174,29
18,8/2001,32.8,30
19,9/2001,44.1,30
20,10/2001,48.689655172413794,29
21,11/2001,52.233333333333334,30
22,12/2001,54.724137931034484,29
23,1/2002,58.666666666666664,30
24,2/2002,60.233333333333334,30
25,3/2002,56.96296296296296,27
26,4/2002,45.96666666666667,30
27,5/2002,36.407407407407405,27
28,6/2002,33.6,30
29,7/2002,30.620689655172413,29
30,8/2002,31.357142857142858,28
31,9/2002,35.48275862068966,29
32,10/2002,48.44827586206897,29
33,11/2002,50.9,30
34,12/2002,66.44827586206897,29
35,1/2003,51.291666666666664,24
36,2/2003,65.27586206896552,29
37,3/2003,38.17391304347826,23
38,4/2003,39.9,30
39,5/2003,38.06896551724138,29
40,6/2003,36.357142857142854,28
41,7/2003,33.37931034482759,29
42,8/2003,35.46666666666667,30
43,9/2003,35.5,16
44,10/2003,41.27272727272727,22
45,11/2003,59.833333333333336,30
46,12/2003,52.793103448275865,29
47,1/2004,54.3,30
48,2/2004,54.34782608695652,23
49,3/2004,51.107142857142854,28
50,4/2004,67.76666666666667,30
51,5/2004,31.82758620689655,29
52,6/2004,34.266666666666666,30
53,7/2004,27.517241379310345,29
54,8/2004,30.733333333333334,30
55,9/2004,34.1,30
56,10/2004,40.13793103448276,29
57,11/2004,42.36666666666667,30
58,12/2004,44.48275862068966,29
59,1/2005,45.266666666666666,30
60,2/2005,40.96666666666667,30
61,3/2005,34.2962962962963,27
62,4/2005,33.733333333333334,30
63,5/2005,36.3448275862069,29
64,6/2005,29.733333333333334,30
65,7/2005,27.137931034482758,29
66,8/2005,29.5,30
67,9/2005,31.466666666666665,30
68,10/2005,40.10344827586207,29
69,11/2005,49.86666666666667,30
70,12/2005,45.96551724137931,29
71,1/2006,42.13333333333333,30
72,2/2006,39.5,30
73,3/2006,50.59090909090909,22
74,4/2006,31.133333333333333,30
75,5/2006,32.44827586206897,29
76,6/2006,24.363636363636363,22
77,7/2006,33.172413793103445,29
78,8/2006,26.133333333333333,30
79,9/2006,30.8,30
80,10/2006,33.3448275862069,29
81,11/2006,35.03333333333333,30
82,12/2006,44.724137931034484,29
83,1/2007,40.333333333333336,30
84,2/2007,46.0,30
85,3/2007,33.592592592592595,27
86,4/2007,39.53333333333333,30
87,5/2007,28.214285714285715,28
88,6/2007,31.133333333333333,30
89,7/2007,24.85185185185185,27
90,8/2007,25.066666666666666,30
91,9/2007,32.375,16
92,10/2007,34.07142857142857,28
93,11/2007,45.36666666666667,30
94,12/2007,42.6551724137931,29
95,1/2008,36.733333333333334,30
96,2/2008,35.766666666666666,30
97,3/2008,37.892857142857146,28
98,4/2008,34.03333333333333,30
99,5/2008,39.37931034482759,29
100,6/2008,28.533333333333335,30
101,7/2008,26.620689655172413,29
102,8/2008,23.4,30
103,9/2008,24.433333333333334,30
104,10/2008,32.51724137931034,29
105,11/2008,48.266666666666666,30
106,12/2008,52.6551724137931,29
107,1/2009,37.36666666666667,30
108,2/2009,42.53333333333333,30
109,4/2009,36.78260869565217,23
110,5/2009,30.275862068965516,29
111,6/2009,19.966666666666665,30
112,7/2009,18.75862068965517,29
113,8/2009,24.6,30
114,9/2009,33.67857142857143,28
115,10/2009,35.48148148148148,27
116,11/2009,38.172413793103445,29
117,12/2009,49.13793103448276,29
118,1/2010,41.666666666666664,30
119,2/2010,43.733333333333334,30
120,3/2010,38.148148148148145,27
121,4/2010,39.6551724137931,29
122,5/2010,30.17241379310345,29
123,6/2010,30.733333333333334,30
124,7/2010,21.448275862068964,29
125,8/2010,21.6,30
126,9/2010,29.266666666666666,30
127,10/2010,36.0,29
128,11/2010,29.166666666666668,30
129,12/2010,37.10344827586207,29
