PassengerId,Survived
892,1
893,0
894,0
895,1
896,0
897,1
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,1
926,1
927,0
928,0
929,1
930,1
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,0
939,0
940,0
941,0
942,1
943,1
944,0
945,1
946,0
947,1
948,0
949,1
950,1
951,1
952,0
953,1
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,1
962,1
963,1
964,1
965,1
966,0
967,0
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,0
976,0
977,0
978,1
979,1
980,0
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,0
992,0
993,0
994,1
995,0
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,1
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
1061,0
1062,1
1063,1
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,0
1085,0
1086,1
1087,1
1088,1
1089,0
1090,1
1091,0
1092,0
1093,0
1094,1
1095,0
1096,0
1097,1
1098,0
1099,1
1100,0
1101,0
1102,1
1103,0
1104,1
1105,0
1106,0
1107,0
1108,1
1109,0
1110,1
1111,0
1112,0
1113,1
1114,0
1115,0
1116,0
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,1
1133,1
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,1
1152,1
1153,0
1154,1
1155,0
1156,0
1157,0
1158,0
1159,0
